evaluation,loss
1,2.157615854337749
2,1.5238067115828158
3,1.5233876655251424
4,1.5575737529635534
5,1.5246559954028656
6,1.5213639060394706
7,1.5215947751531778
8,1.5215543935479352
9,1.5226194961077
10,1.3441065058585513
11,1.3441065058585513
12,1.3455326973172708
13,1.3441065058585513
14,1.350686223007825
15,1.3441065058585513
16,1.3454807179314827
17,1.3441065058585513
18,0.9552317299402903
19,0.7192317859496522
20,0.7051666685996034
21,0.652368179328868
22,0.6064956787673194
23,0.6975845685188485
24,0.6784763415582168
25,0.5407226710477375
26,0.635651071142628
27,0.5439093780143814
28,0.5166763523167837
29,0.500245046203871
30,0.4673542779823167
31,0.42599195160720865
32,0.3924511622544382
33,0.4235136272604912
34,0.3932368470125184
35,0.4473232328898997
36,0.3911894295062524
37,0.3702597254953611
38,0.39703227887796205
39,0.3690994527460707
40,0.3663473336449235
41,0.3934362373709642
42,0.3663473336449235
43,0.3658912235284031
44,0.36500176199122036
45,0.3645762378715791
46,0.3856835524676358
47,0.3857804266757444
48,0.3853175215599565
49,0.3646061744717242
50,0.3628768731145115
51,0.3682659720136084
52,0.36347696197035956
53,0.38451157202539477
54,0.36449560079714916
55,0.36518671413889964
56,0.36455286182513885
57,0.36888188108152886
58,0.36573028676264047
59,0.3662981030793975
60,0.3847394042844968
